trip_instance_id,recon_mse,split,y
2026-03-11_1359254_U_60,0.12543009,history,0
2026-03-11_1359254_U_61,0.1548664,history,0
2026-03-11_1359254_U_63,0.21285312,history,0
2026-03-11_1359254_U_64,0.20988277,history,1
2026-03-11_1359254_U_66,0.15864444,history,0
2026-03-11_1359254_U_67,0.16904232,history,1
2026-03-11_1359254_U_68,0.17189753,history,0
2026-03-11_1359254_U_69,0.15117776,history,0
2026-03-11_1359254_U_7,0.21395835,history,0
2026-03-11_1359254_U_70,0.15299349,history,0
2026-03-11_1359254_U_71,0.17714648,history,1
2026-03-11_1359254_U_73,0.26505458,history,1
2026-03-11_1359254_U_77,0.1782668,history,1
2026-03-11_1359254_U_8,0.16466874,history,1
2026-03-11_1364746_U_1,0.44514295,history,0
2026-03-11_1364746_U_16,0.25419587,history,0
2026-03-11_1364746_U_17,0.27908888,history,0
2026-03-11_1364746_U_19,0.18450914,history,1
2026-03-11_1364746_U_2,0.38589466,history,0
2026-03-11_1364746_U_23,0.22755867,history,1
2026-03-11_1364746_U_4,0.1917764,history,1
2026-03-11_1364746_U_41,0.20986265,history,0
2026-03-11_1364746_U_56,0.27632993,history,0
2026-03-11_1364746_U_60,0.11723821,history,1
2026-03-11_1364746_U_61,0.16655546,history,1
2026-03-11_1364747_U_1,0.2611997,history,0
2026-03-11_1364747_U_10,0.44002295,history,0
2026-03-11_1364747_U_11,0.17000733,history,0
2026-03-11_1364747_U_12,0.42457932,history,0
2026-03-11_1364747_U_13,0.2409387,history,0
2026-03-11_1364747_U_14,0.33993182,history,0
2026-03-11_1364747_U_15,0.34253496,history,0
2026-03-11_1364747_U_16,0.3509948,history,0
2026-03-11_1364747_U_17,0.17819181,history,0
2026-03-11_1364747_U_18,0.29643652,history,0
2026-03-11_1364747_U_19,0.27627295,history,0
2026-03-11_1364747_U_2,0.19777438,history,0
2026-03-11_1364747_U_20,0.22788672,history,0
2026-03-11_1364747_U_21,0.34875894,history,0
2026-03-11_1364747_U_22,0.28001344,history,0
2026-03-11_1364747_U_23,0.19764702,history,0
2026-03-11_1364747_U_24,0.2325835,history,0
2026-03-11_1364747_U_25,0.22727603,history,0
2026-03-11_1364747_U_26,0.23387644,history,0
2026-03-11_1364747_U_27,0.19071701,history,0
2026-03-11_1364747_U_28,0.33509848,history,0
2026-03-11_1364747_U_29,0.17661576,history,0
2026-03-11_1364747_U_3,0.20138828,history,0
2026-03-11_1364747_U_30,0.21636668,history,0
2026-03-11_1364747_U_31,0.38164812,history,0
2026-03-11_1364747_U_32,0.3561101,history,0
2026-03-11_1364747_U_4,0.25315362,history,0
2026-03-11_1364747_U_5,0.23777184,history,0
2026-03-11_1364747_U_6,0.13804197,history,0
2026-03-11_1364747_U_7,0.2497698,history,0
2026-03-11_1364747_U_8,0.3291996,history,0
2026-03-11_1364747_U_9,0.34224278,history,0
2026-03-11_1364748_U_1,0.30499753,history,0
2026-03-11_1364748_U_10,0.16087237,history,0
